종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","2115","0","0.00","2120","2135","2090","55955","118077815","112219869600","53059040"
"095570","AJ네트웍스","KOSPI",,"4415","115","2.67","4295","4425","4270","325526","1417850136","199790930985","45252759"
"006840","AK홀딩스","KOSPI",,"12530","30","0.24","12680","12680","12280","6514","81011560","165991939330","13247561"
"054620","APS","KOSDAQ","중견기업부","4940","-15","-0.30","4970","4970","4910","3758","18550565","98277451740","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","17050","-90","-0.53","17170","17200","16980","17041","290200080","260548228050","15281421"
"211270","AP위성","KOSDAQ","우량기업부","12760","240","1.92","12510","12770","12460","20493","258934710","192450199040","15082304"
"109960","AP헬스케어","KOSDAQ","투자주의환기종목(소속부없음)","322","0","0.00","322","324","320","66367","21375886","71094144618","220789269"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"4400","140","3.29","4260","4415","4230","160343","696987147","421153880400","95716791"
"282330","BGF리테일","KOSPI",,"122800","-900","-0.73","122800","124500","122200","10434","1282925500","2122463656800","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3030","0","0.00","3030","3045","3000","14512","43766435","190183703970","62766899"
"138930","BNK금융지주","KOSPI",,"14510","110","0.76","14490","14690","14400","683532","9947007710","4619744860690","318383519"
"001460","BYC","KOSPI",,"43100","2150","5.25","41000","45050","40650","8471","356961100","269209065000","6246150"
"001465","BYC우","KOSPI",,"24600","1050","4.46","23800","25000","23500","10017","243841075","52984710000","2153850"
"083790","CG인바이츠","KOSDAQ","중견기업부","1766","-4","-0.23","1771","1776","1758","12632","22268922","135795125412","76894182"
"001040","CJ","KOSPI",,"159800","3100","1.98","157300","161200","157000","54619","8717297150","4662484280400","29176998"
"079160","CJ CGV","KOSPI",,"5410","10","0.19","5410","5450","5350","118601","640301485","895790515820","165580502"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","69700","100","0.14","70000","70900","69100","20944","1466299050","1528462033800","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","9500","40","0.42","9380","9600","9380","2656","25172390","124121889000","13065462"
"00104K","CJ4우(전환)","KOSPI",,"130600","1100","0.85","129900","131300","128700","4682","610495200","551982467200","4226512"
"000120","CJ대한통운","KOSPI",,"92800","3100","3.46","89900","93100","89500","47579","4388206700","2116985523200","22812344"
"011150","CJ씨푸드","KOSPI",,"3020","-5","-0.17","3020","3040","3015","43132","130400745","108510934460","35930773"
